Old Univ #,Old Unique number within universe type,Old CTPP Table Number,Prefix for Set (Synthesized or not),CTPP Part, Univ #,Unique number within universe type,Colla-pse Suffix,CTPP Table Number*,Content,Universe,# of Cells
1,100,11100,A,1,01,100,,A101100,Total Population (1),All persons,1
1,101,11101,A,1,01,101,,A101101,Age (11),All persons,11
1,103,11103,A,1,01,102,,A101102,Urban/Rural residence (3),All persons,3
1,104,11104,A,1,01,103,,A101103,Hispanic origin (3),All persons,3
1,106,11106,A,1,01,104,,A101104,Length of US Residence (6),All persons,6
1,107,11107,A,1,01,105,,A101105,Minority status (3),All persons,3
1,108,11108,A,1,01,106,,A101106,Unweighted sample count of the population (1),All persons,1
1,109,11109,A,1,01,107,,A101107,Percent of population in sample (1),All persons,1
1,110,11110,A,1,01,108,,A101108,Race (5),All persons,5
1,111,11111,A,1,01,109,,A101109,School Enrollment (7),All persons,7
1,112,11112,A,1,01,110,,A101110,Sex (3),All persons,3
1,201,11201,A,1,01,201,,A101201,Age (11) by Minority status (3),All persons,33
1,202,11202,A,1,01,202,,A101202,Age (9) by School enrollment (7),All persons,63
1,203,11203,A,1,01,203,,A101203,Age (11) by Sex (3),All persons,33
1,206,11206,A,1,01,204,,A101204,Hispanic Origin (3) by Race of Person (5) ,All persons,15
2,100,12100,A,1,02,101,,A102101,Total workers (1),Workers 16 years and over,1
2,101,12101,A,1,02,102,,A102102,Age of worker (8),Workers 16 years and over,8
2,102,12102,A,1,02,103,,A102103,Class of worker (9),Workers 16 years and over,9
2,103,12103,A,1,02,104,,A102104,Earnings in the past 12 months (2010$) (11),Workers 16 years and over,11
2,104,12104,A,1,02,105,,A102105,Industry (15) ,Workers 16 years and over,15
2,106,12106,A,1,02,106,,A102106,Means of transportation (18),Workers 16 years and over,18
2,107,12107,A,1,02,107,,A102107,Occupation (25),Workers 16 years and over,25
2,108,12108,A,1,02,108,,A102108,Time leaving home (41),Workers 16 years and over,41
2,112,12112,A,1,02,109,,A102109,Usual Hours worked per week (7),Workers 16 years and over,7
2,118,12118,A,1,02,110,,A102110,Travel time to work (12),Workers 16 years and over,12
2,110,12110,B,1,02,201,,B102201,Minority Status (3) by Means of Transportation (11) ,Workers 16 years and over,33
2,,12110C,B,1,02,201,C,B102201C,Minority Status (3) by Means of Transportation (7) ,Workers 16 years and over,21
2,,12110C2,B,1,02,201,C2,B102201C2,Minority Status (3) by Means of Transportation (6)  ,Workers 16 years and over,18
2,,12110C3,B,1,02,201,C3,B102201C3,Minority Status (3) by Means of Transportation (4) ,Workers 16 years and over,12
2,200,12200,A,1,02,202,,A102202,Age of Worker (8) by Earnings in the past 12 months (2010$) (11),Workers 16 years and over,88
2,201,12201,B,1,02,203,,B102203,Age of Worker (8) by Means of transportation (11),Workers 16 years and over,88
2,,12201C,B,1,02,203,C,B102203C,Age of Worker (8) by Means of transportation (7),Workers 16 years and over,56
2,,12201C2,B,1,02,203,C2,B102203C2,Age of Worker (8) by Means of transportation (6),Workers 16 years and over,48
2,,12201C3,B,1,02,203,C3,B102203C3,Age of Worker (8) by Means of transportation (4),Workers 16 years and over,32
2,206,12206,A,1,02,204,,A102204,Earnings in the past 12 months (2010$) (11) by Travel time (12),Workers 16 years and over,132
2,,12206C,A,1,02,204,C,A102204C,Earnings in the past 12 months (2010$) (6) by Travel time (12),Workers 16 years and over,72
2,210,12210,A,1,02,205,,A102205,Hispanic Origin (3) by Race (5),Workers 16 years and over,15
2,211,12211,A,1,02,206,,A102206,Industry (15) by Earnings in the past 12 months (2010$) (11),Workers 16 years and over,165
2,,12211C,A,1,02,206,C,A102206C,Industry (15) by Earnings in the past 12 months (2010$) (6),Workers 16 years and over,90
2,213,12213,A,1,02,207,,A102207,Industry (15) by Time leaving home (17),Workers 16 years and over,255
2,,12213C,A,1,02,207,C,A102207C,Industry (15) by Time leaving home (10),Workers 16 years and over,150
2,214,12214,A,1,02,208,,A102208,Length of US residence (6) by Earnings in the past 12 months (2010$) (11),Workers 16 years and over,66
2,,12214C,A,1,02,208,C,A102208C,Length of US residence (6) by Earnings in the past 12 months (2010$) (6),Workers 16 years and over,36
2,216,12216,A,1,02,209,,A102209,Minority Status (3) by Class of worker (9),Workers 16 years and over,27
2,217,12217,A,1,02,210,,A102210,Minority Status (3) by Earnings in the past 12 months (2010$) (11),Workers 16 years and over,33
2,218,12218,A,1,02,211,,A102211,Minority Status (3) by Industry (15),Workers 16 years and over,45
2,220,12220,A,1,02,212,,A102212,Minority Status (3) by Occupation (25),Workers 16 years and over,75
2,221,12221,A,1,02,213,,A102213,Minority Status (3) by Travel time (18),Workers 16 years and over,54
2,222,12222,A,1,02,214,,A102214,Occupation (25) by Industry (15),Workers 16 years and over,375
2,,12222C,A,1,02,214,C,A102214C,Occupation (8) by Industry (15),Workers 16 years and over,120
2,224,12224,A,1,02,215,,A102215,Occupation (25) by Time leaving home (17),Workers 16 years and over,425
2,,12224C,A,1,02,215,C,A102215C,Occupation (8) by Time leaving home (10),Workers 16 years and over,80
2,226,12226,B,1,02,216,,B102216,Time leaving home (17) by Means of transportation (11),Workers 16 years and over,187
2,,12226C,B,1,02,216,C,B102216C,Time leaving home (10) by Means of transportation (7),Workers 16 years and over,70
2,,12226C2,B,1,02,216,C2,B102216C2,Time leaving home (10) by Means of transportation (6),Workers 16 years and over,60
2,,12226C3,B,1,02,216,C3,B102216C3,Time leaving home (10) by Means of transportation (4),Workers 16 years and over,40
2,227,12227,B,1,02,217,,B102217,Travel time (12) by Means of transportation (11),Workers 16 years and over,132
2,,12227C,B,1,02,217,C,B102217C,Travel time (12) by Means of transportation (7),Workers 16 years and over,84
2,,12227C2,B,1,02,217,C2,B102217C2,Travel time (12) by Means of transportation (6),Workers 16 years and over,72
2,,12227C3,B,1,02,217,C3,B102217C3,Travel time (12) by Means of transportation (4),Workers 16 years and over,48
3,100,13100,A,1,03,100,,A103100,Total Workers in households (1),Workers 16 years and over in households,1
3,101,13101,A,1,03,101,,A103101,Household income in the past 12 months (2010$) (26),Workers 16 years and over in households,26
3,303,13303,B,1,03,200,,B103200,Presence of Children (3) by Means of Transportation (11)  ,Workers 16 years and over in households,33
3,,13303C,B,1,03,200,C,B103200C,Presence of Children (3) by Means of Transportation (7) ,Workers 16 years and over in households,21
3,,13303C2,B,1,03,200,C2,B103200C2,Presence of Children (3) by Means of Transportation (6) ,Workers 16 years and over in households,18
3,,13303C3,B,1,03,200,C3,B103200C3,Presence of Children (3) by Means of Transportation (4)  ,Workers 16 years and over in households,12
3,304,13304,B,1,03,201,,B103201,Number of Workers in households (3) by Means of Transportation (11)  ,Workers 16 years and over in households,33
3,,13304C,B,1,03,201,C,B103201C,Number of Workers in households (3) by Means of Transportation (7) ,Workers 16 years and over in households,21
3,,13304C2,B,1,03,201,C2,B103201C2,Number of Workers in households (3) by Means of Transportation (6) ,Workers 16 years and over in households,18
3,,13304C3,B,1,03,201,C3,B103201C3,Number of Workers in households (3) by Means of Transportation (4) ,Workers 16 years and over in households,12
3,305,13305,B,1,03,202,,B103202,Median Household Income in the last 12 months (2010$) (1) by Means of Transportation (11) ,Workers 16 years and over in households,11
